Date,Filename,Title,Download_url,Source,CVE,MITRE_ID,YARA,Threat_actor,Threat_country,Motivation,First_seen,Victim_country,Zero-day,Attack_vector,Malware,Target_sector,Attack_start_date,Attack_end_date,Attack_duration
2014-02-20,Mo' Shells Mo' Problems - Network Detection,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.deep-panda-webshells/Mo%27%20Shells%20Mo%27%20Problems%20-%20Network%20Detection%20%C2%BB.pdf,CrowdStrike,,,,deep panda,CN,"Espionage, Information theft and espionage",2013,,,,,Corporations and Businesses,,,
2014-02-20,deep-panda-webshells,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.deep-panda-webshells/deep-panda-webshells.pdf,CrowdStrike,,,,deep panda,CN,"Espionage, Information theft and espionage",2013,,,,"showimg.asp, system_web.aspx","Corporations and Businesses, Financial Institutions, Government and Defense Agencies",,,
2014-02-20,Mo' Shells Mo' Problems - File List Stacking,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.deep-panda-webshells/Mo%27%20Shells%20Mo%27%20Problems%20-%20File%20List%20Stacking%20%C2%BB.pdf,CrowdStrike,,,,deep panda,CN,"Espionage, Information theft and espionage",2013,,,,,Corporations and Businesses,,,
2014-02-20,Operation_GreedyWonk,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.Operation_GreedyWonk/Operation_GreedyWonk.pdf,FireEye,"CVE-2012-0507, CVE-2012-0779",,,,,,,,TRUE,Watering Hole,"Adobe Flash, PlugX/Kaba remote access tool (RAT)",Non-Governmental Organizations (NGOs) and Nonprofits,,,
2014-02-23,FTA 1012 STTEAM Final,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.23.Operation_STTEAM/FTA%201012%20STTEAM%20Final.pdf,Fidelis Cybersecurity,,,,st group,CN,"Espionage, Information theft and espionage",2010,,,,"Zehir ASP Shell, K-Shell/ZHC Shell 1.0/Aspx Shell","Energy and Utilities, Government and Defense Agencies",,,
2014-02-25,french-connection-french-aerospace-focused-cve-2014-0322-attack-shares-similarities-2012,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.25.The_French_Connection/french-connection-french-aerospace-focused-cve-2014-0322-attack-shares-similarities-2012.pdf,CrowdStrike,"CVE-2012-4792, CVE-2014-0322",,,aurora panda,CN,"Espionage, Information theft and espionage",2009,FR,TRUE,Watering Hole,"Sakula malware, ZxShell malware","Corporations and Businesses, Manufacturing",,,
2014-02-25,Crowdstrike_The French Connection(Feb-25-14),The French Connection: French Aerospace-Focused CVE-2014-0322 Attack Shares Similarities with 2012 Capstone Turbine Activity,https://app.box.com/s/yh95vh5l17z2vcffwjvg3v05fzn0pzp1,CrowdStrike,"CVE-2012-4792, CVE-2014-0322",,,aurora panda,CN,"Espionage, Information theft and espionage",2009,"FR, US",TRUE,"Exploit Vulnerability, Watering Hole",Sakula malware,"Corporations and Businesses, Manufacturing, Critical Infrastructure",,,
2014-02-28,GData_Uroburos_RedPaper_EN_v1,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.28.Uroburos/GData_Uroburos_RedPaper_EN_v1.pdf,G Data,,,,,,,,,,Removable Media,"Uroburos, Agent.BTZ, Dumper for NTLM, RAR tools","Government and Defense Agencies, Education and Research Institutions, Corporations and Businesses",,,
2014-03-06,The_Siesta_Campaign,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.06.The_Siesta_Campaign/The_Siesta_Campaign.pdf,Trend Micro,,,,,,,,,FALSE,Spear Phishing,"TROJ_SLOTH, BKDR_SLOTH.A, UIODsevr.exe","Corporations and Businesses, Financial Institutions, Healthcare, Energy and Utilities, Media and Entertainment Companies, Government and Defense Agencies, Critical Infrastructure",,,
2014-03-07,snake_whitepaper,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.07.Snake_Campaign/snake_whitepaper.pdf,BAE Systems Applied Intelligence,,,,,,,,"BE, GB, GE, HU, IT, LT, RO, UA, US",,"Removable Media, Spear Phishing, Exploit Vulnerability","Snake, uroburos, sengoku, snark, Agent.BTZ, Metasploit",,,,
2014-03-08,Reuters_Turla,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.08.Russian_spyware_Turla/Reuters_Turla.pdf,Reuters,,,,turla,RU,"Espionage, Information theft and espionage",1996,"GB, LT, UA",,,"Agent.BTZ, Turla, password stealers, document stealers, command and control servers.",Government and Defense Agencies,,,
2014-03-12,a-detailed-examination-of-the-siesta-campaign,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.12.Detailed_Siesta_Campaign/a-detailed-examination-of-the-siesta-campaign.pdf,FireEye,,,,apt1,CN,"Espionage, Information theft and espionage",2006,,,Spear Phishing,"Spear-phishing emails, Callback traffic, Binder tool",Corporations and Businesses,,,
2014-04-26,Op_Clandestine_Fox,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.04.26.Operation_Clandestine_Fox/Op_Clandestine_Fox.pdf,FireEye,"CVE-2010-3962, CVE-2014-1776",,,,,,,,TRUE,Exploit Vulnerability,"Pirpi, Adobe Flash, Internet Explorer, EMET, SWF, RC4.",,,,
2014-05-13,fireeye-operation-saffron-rose,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.13.Operation_Saffron_Rose/fireeye-operation-saffron-rose.pdf,FireEye,,,,ajax security team,IR,"Espionage, Information theft and espionage",2010,IR,TRUE,"Spear Phishing, Phishing, Social Engineering","Stealer malware, IntelRapidStart.exe, RapidStartTech.stl, Ultrasms[.]ir","Government and Defense Agencies, Corporations and Businesses",2009-07-13,2014-03-15,1706.0
2014-05-13,CrowdStrike_Flying_Kitten,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.13.Flying.Kitten/CrowdStrike_Flying_Kitten.pdf,CrowdStrike,,,"rule CrowdStrike_CSIT_14003_03 : installer \n{ \n       meta: \n             copyright = ""CrowdStrike, Inc"" \n             description = ""Flying Kitten Installer"" \n             version = ""1.0"" \n             actor = ""FLYING KITTEN"" \n             in_the_wild = true \n       strings: \n             $exename = ""IntelRapidStart.exe"" \n             $confname = ""IntelRapidStart.exe.config"" \n             $cabhdr = { 4d 53 43 46 00 00 00 00 } \n       condition: \n             all of them \n}, rule CrowdStrike_FlyingKitten : rat\n{\nmeta: \n            copyright = ""CrowdStrike, Inc"" \n             description = ""Flying Kitten RAT"" \n             version = ""1.0"" \n             actor = ""FLYING KITTEN"" \n             in_the_wild = true \n       strings: \n             $classpath = ""Stealer.Properties.Resources.resources"" \n             $pdbstr = ""\\Stealer\\obj\\x86\\Release\\Stealer.pdb"" \n       condition: \n             all of them and \n             uint16(0) == 0x5A4D and uint32(uint32(0x3c)) == 0x4550 and \n             uint16(uint32(0x3C) + 0x16) & 0x2000 == 0 and \n             ((uint16(uint32(0x3c)+24) == 0x010b and \n            uint32(uint32(0x3c)+232) > 0) or \n             (uint16(uint32(0x3c)+24) == 0x020b and \n            uint32(uint32(0x3c)+248) > 0)) \n}",flying kitten,IR,"Espionage, Information theft and espionage",2010,US,FALSE,"Phishing, Credential Reuse, Website Equipping",Stealer malware,"Government and Defense Agencies, Education and Research Institutions",,,
2014-05-16,APT Campaign Leverages the Cueisfry Trojan and Microsoft Word Vulnerability CVE-2014-1761,,https://www.secureworks.com/blog/apt-campaign-leverages-the-cueisfry-trojan-and-microsoft-word-vulnerability-cve-2014-1761,SecureWorks,CVE-2014-1761,,,,,,,,TRUE,"Spear Phishing, Exploit Vulnerability, Malicious Documents","Cueisfry trojan, Epdate.exe, Microsoft Word","Government and Defense Agencies, Financial Institutions",2014-04-21,2014-05-16,25.0
2014-05-20,Miniduke_twitter,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.20.Miniduke_Twitter_CnC/Miniduke_twitter.pdf,Kaspersky,CVE-2014-1761,,,,,,,"BE, FR, GB",TRUE,"Exploit Vulnerability, Malicious Documents","MiniDuke, Win32/SandyEva, Win32/Exploit.CVE-2014-1761.D, TwitterJS",Government and Defense Agencies,2013-03-15,2014-04-08,389.0
2014-05-21,FTA_1013_RAT_in_a_jar,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.21.Unrecom_Rat/FTA_1013_RAT_in_a_jar.pdf,Fidelis Cybersecurity,,,,,,,,"RU, SA, US",,Phishing,"Adwind RAT, DarkComet, ArcomRAT, Unrecom RAT","Government and Defense Agencies, Healthcare, Corporations and Businesses",,,
2014-05-28,Iranian Hackers Targeted US Officials in Elaborate Social Media Attack Operation _ SecurityWeek,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.28.NewsCaster_An_Iranian_Threat_Within_Social_Networks/Iranian%20Hackers%20Targeted%20US%20Officials%20in%20Elaborate%20Social%20Media%20Attack%20Operation%20_%20SecurityWeek.pdf,Mandiant,,,,newscaster,IR,Espionage,,"GB, IL, IQ, SA, US",FALSE,"Spear Phishing, Social Engineering",,"Government and Defense Agencies, Critical Infrastructure, Media and Entertainment Companies, Individuals",,,
2014-05-28,file-2581720763-pdf,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.28.NewsCaster_An_Iranian_Threat_Within_Social_Networks/file-2581720763-pdf.pdf,Mandiant,,,,newscaster,IR,Espionage,,"AF, GB, IL, IQ, SA, SY, US",FALSE,"Phishing, Social Engineering",,"Government and Defense Agencies, Corporations and Businesses",,,
2014-05-28,newscaster-iranian-threat-inside-social-media,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.28.NewsCaster_An_Iranian_Threat_Within_Social_Networks/newscaster-iranian-threat-inside-social-media.pdf,Mandiant,,,,newscaster,IR,Espionage,,"GB, IL, IQ, SA, US",FALSE,"Spear Phishing, Social Engineering",,"Government and Defense Agencies, Critical Infrastructure",,,
2014-06-06,ASERT-Threat-Intelligence-Brief-2014-07-Illuminating-Etumbot-APT,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.06.06.Etumbot_APT_Backdoor/ASERT-Threat-Intelligence-Brief-2014-07-Illuminating-Etumbot-APT.pdf,"Arbor Networks, Inc.",,,,numbered panda,CN,"Espionage, Information theft and espionage",2009,TW,,Malicious Documents,"sysupdate.exe, JavaSvc.exe",Education and Research Institutions,,,
2014-06-09,putter-panda,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.06.09.Putter_Panda/putter-panda.pdf,CrowdStrike,,,,putter panda,CN,"Espionage, Information theft and espionage",2007,JP,,,"Remote Access Tools (RATs), Custom malware, Pngdowner malware, HttpClient malware, Droppers – RC4 and XOR Based, 4H RAT",Corporations and Businesses,,,
2014-06-10,Bluecoat_SnakeInTheGrass-Python-Malware-Targeted(06-10-2014),Snake In The Grass: Python-based Malware Used For Targeted Attacks,https://app.box.com/s/4n263mzodo4mb7jz1w3deidg9xuu2teh,Bluecoat,CVE-2012-0158,,,,,,,,FALSE,"Spear Phishing, Malicious Documents","AutoIt, Python",Government and Defense Agencies,,,
2014-06-20,Compromise_Greece_Beijing,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.06.20.Embassy_of_Greece_Beijing/Compromise_Greece_Beijing.pdf,Microsoft,,,,,,,,,,Watering Hole,"IDA Pro, Java Decompiler, Wireshark, cmd.exe, Internet Explorer",Government and Defense Agencies,,,
2014-06-30,Dragonfly_Threat_Against_Western_Energy_Suppliers,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.06.30.Dragonfly/Dragonfly_Threat_Against_Western_Energy_Suppliers.pdf,Symantec,"CVE-2012-1723, CVE-2012-4792, CVE-2013-1347, CVE-2013-2465",,private rule isPE\n{\n            condition:\n                  uint16(0) == 0x5A4D and uint32\n(uint32\n(0x3c)\n) == 0x00004550\n},dragonfly,RU,"Espionage, Sabotage and destruction",2010,"DE, ES, FR, IT, US",,"Spear Phishing, Watering Hole, Malicious Documents","Backdoor.Oldrea (also known as Havex or the Energetic Bear RAT), Trojan.Karagany, Lightsout exploit kit, Hello exploit kit","Energy and Utilities, Critical Infrastructure",,,
2014-07-07,Deep in Thought_ Chinese Targeting of National Security Think Tanks,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.07.Deep_in_Thought/Deep%20in%20Thought_%20Chinese%20Targeting%20of%20National%20Security%20Think%20Tanks%20%C2%BB.pdf,CrowdStrike,,,,deep panda,CN,"Espionage, Information theft and espionage",2013,"CN, IQ, IR, RU",FALSE,Credential Reuse,"NetE tool, 7-zip, RAR archiver, MadHatter .NET Remote Access Tool (RAT)","Non-Governmental Organizations (NGOs) and Nonprofits, Education and Research Institutions",,,
2014-07-07,AdversaryIntelligenceReport_DeepPanda_0,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.07.Deep_in_Thought/AdversaryIntelligenceReport_DeepPanda_0.pdf,CrowdStrike,,,,deep panda,CN,"Espionage, Information theft and espionage",2013,"JP, US",,,"Remote Access Tool (RAT), Dynamic Link Library (DLL)","Government and Defense Agencies, Corporations and Businesses, Non-Governmental Organizations (NGOs) and Nonprofits",,,
2014-07-10,TrapX_ZOMBIE_Report_Final,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.10.Zombie_Zero/TrapX_ZOMBIE_Report_Final.pdf,TrapX Security,,,,,,,,,FALSE,Removable Media,"SMB protocol, RADMIN protocol","Manufacturing, Corporations and Businesses",,,
2014-07-10,circl-tr25-analysis-turla-pfinet-snake-uroburos,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.10.Turla_Pfinet_Snake_Uroburos/circl-tr25-analysis-turla-pfinet-snake-uroburos.pdf,CIRCL,,,,,,,,,,,"Uroburos, Turla, Sengoku, Snark, Pfinet, Agent.btz",,,,
2014-07-11,The-Eye-of-the-Tiger2,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.11.Pitty_Tiger/The-Eye-of-the-Tiger2.pdf,Symantec,"CVE-2012-0158, CVE-2014-1761",,,pitty tiger,,,,,,"Spear Phishing, Exploit Vulnerability, Malicious Documents","Troj/ReRol.A, MM RAT, CT RAT, Pitty Tiger, Paladin RAT, cp.exe, mailpv.exe, gsecdump, NirSoft tools, Mimikatz, pr.exe, po.exe, ssql.exe, Fluxay","Government and Defense Agencies, Education and Research Institutions, Energy and Utilities",,,
2014-07-20,Sayad_Flying_Kitten_analysis,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.20.Flying_Kitten/Sayad_Flying_Kitten_analysis.pdf,RSA,,,"rule Vinsula_Sayad_Binder : infostealer\n{\n \nmeta: \n \n \ncopyright = ""Vinsula, Inc"" \n \n \ndescription = ""Sayad Infostealer Binder"" \n \n \nversion = ""1.0"" \n \n \nactor = ""Sayad Binder"" \n \n \nin_the_wild = true \n    strings: \n \n \n$pdbstr = \n""\\\\Projects\\\\C#\\\\Sayad\\\\Source\\\\Binder\\\\obj\\\\Debug\\\\Binder.pdb"" \n \n \n$delphinativestr = ""DelphiNative.dll"" nocase\n \n \n$sqlite3str = ""sqlite3.dll"" nocase\n \n \n$winexecstr = ""WinExec"" \n \n \n$sayadconfig = ""base.dll"" wide\n     condition:\n        all of them\n}, rule Vinsula_Sayad_Client : infostealer\n{\n \nmeta: \n \n \ncopyright = ""Vinsula, Inc"" \n \n \ndescription = ""Sayad Infostealer Client"" \n \n \nversion = ""1.0"" \n \n \nactor = ""Sayad Client"" \n \n \nin_the_wild = true \n    strings: \n \n \n$pdbstr = \n""\\\\Projects\\\\C#\\\\Sayad\\\\Source\\\\Client\\\\bin\\\\x86\\\\Debug\\\\Client.pdb"" \n \n \n$sayadconfig = ""base.dll"" wide\n \n \n$sqlite3str = ""sqlite3.dll"" nocase\n \n \n$debugstr01 = ""Config loaded"" wide\n \n \n$debugstr02 = ""Config parsed"" wide\n \n \n$debugstr03 = ""storage uploader"" wide\n \n \n$debugstr04 = ""updater"" wide\n \n \n$debugstr05 = ""keylogger"" wide\n \n \n$debugstr06 = ""Screenshot"" wide\n \n \n$debugstr07 = ""sqlite found & start collectiong data"" wide\n \n \n$debugstr08 = ""Machine info collected"" wide\n \n \n$debugstr09 = ""browser ok"" wide\n \n \n$debugstr10 = ""messenger ok"" wide\n \n \n$debugstr11 = ""vpn ok"" wide\n \n \n$debugstr12 = ""ftp client ok"" wide\n \n \n$debugstr13 = ""ftp server ok"" wide\n \n \n$debugstr14 = ""rdp ok"" wide\n \n \n$debugstr15 = ""kerio ok"" wide\n \n \n$debugstr16 = ""skype ok"" wide\n \n \n$debugstr17 = ""serialize data ok"" wide\n \n \n$debugstr18 = ""Keylogged"" wide\n     condition:\n        all of them\n}",ajax security team,IR,"Espionage, Information theft and espionage",2010,,,Phishing,"Sayad malware, Vinsula Execution Engine, IDA Pro, WinDBG, .NET Reflector, Dependency Walker, PEview, Fiddler, SysInternals Process Explorer, IP Geolocator, WHOIS Search, YARA, Hashmyfiles","Corporations and Businesses, Government and Defense Agencies, Individuals",2014-07-14,2014-07-24,10.0
2014-07-29,group-3279-targets-the-video-game-industry,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.29.Threat_Group-3279_Targets_the_Video_Game_Industry/group-3279-targets-the-video-game-industry.pdf,SecureWorks,,,,apt41,CN,"Financial crime, Information theft and espionage",2010,,,"Credential Reuse, Exploit Vulnerability","Conpee, gsi.exe, Etso, pwdump6, Gh0st, NetCommander, Carberp",Media and Entertainment Companies,,,
2014-07-31,EB-YetiJuly2014-Public,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.31.Energetic_Bear/EB-YetiJuly2014-Public.pdf,Kaspersky,"CVE-2011-0611, CVE-2012-1723, CVE-2013-1347, CVE-2013-2465",,,energetic bear,RU,"Espionage, Sabotage and destruction",2010,"AR, AZ, BD, BR, CH, CN, CO, CZ, DE, EC, ES, GB, HK, IN, IQ, IR, IT, KR, MX, MY, QA, TJ, TW, VN, ZA",FALSE,"Spear Phishing, Watering Hole, Exploit Vulnerability, Malicious Documents","Havex Trojan, Sysmain Trojan, The ClientX backdoor, Karagany backdoor, LightsOut exploit kit, Metasploit framework","Corporations and Businesses, Manufacturing, Healthcare, Education and Research Institutions, Critical Infrastructure, Cloud/IoT Services, Energy and Utilities",2010-10-15,2014-07-15,1369.0
2014-08-04,fireeye-sidewinder-targeted-attack,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.04.Sidewinder_GoldenAge/fireeye-sidewinder-targeted-attack.pdf,FireEye,CVE-2014-0224,,,sidewinder,,Information theft and espionage,2012,,,Exploit Vulnerability,,"Financial Institutions, Individuals",,,
2014-08-05,ThreatConnect_Operation_Arachnophobia_Report,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.05.Operation_Arachnophobia/ThreatConnect_Operation_Arachnophobia_Report.pdf,Cyber Squared Inc.,,,,,,,,IN,,,"BITTERBUG, Libcurl40",Government and Defense Agencies,2013-05-08,2014-03-17,313.0
2014-08-06,Operation_Poisoned_Hurricane,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.06.Operation_Poisoned_Hurricane/Operation_Poisoned_Hurricane.pdf,FireEye,,,,,,,,US,,,Kaba (aka PlugX or SOGU),"Government and Defense Agencies, Corporations and Businesses, Financial Institutions, Media and Entertainment Companies",2013-10-15,2014-08-04,293.0
